,zip_code_tabulation_area,percent_owner,qrt_percent_owner,percent_rentburdened,qrt_percent_rentburdened,HH_value,qrt_HH_value,percent_snap,qrt_percent_snap,percent_poverty,qrt_percent_poverty,percent_employed,qrt_percent_employed,percent_lths,qrt_percent_lths,percent_noenglish,qrt_percent_noenglish,percent_black,qrt_percent_black,percent_latino,qrt_percent_latino,percent_aapi,qrt_percent_aapi,percent_other,qrt_percent_other,percent_noinsurance,qrt_percent_noinsurance,GINI_index,qrt_GINI_index
49,11225,0.1507243,Q1,0.502740064,Q3,867700,Q4,0.168172025,Q3,0.172462439,Q3,0.638454328,Q3,0.124783115,Q2,0.035917451,Q2,0.63200197,Q4,0.09358237,Q1,0.039835382,Q1,0.05119682,Q2,0.073546752,Q3,0.501,Q3
50,11232,0.234589041,Q2,0.53045067,Q3,757700,Q3,0.20696347,Q3,0.201535984,Q3,0.600055677,Q2,0.317034617,Q4,0.222579737,Q4,0.09379493,Q2,0.499243284,Q4,0.200794552,Q3,0.244797579,Q4,0.125219093,Q4,0.4733,Q2
51,11238,0.281152532,Q2,0.394155993,Q1,976300,Q4,0.116919393,Q2,0.11890428,Q2,0.699814166,Q4,0.096879167,Q2,0.024666872,Q1,0.368393407,Q4,0.109038218,Q1,0.087103786,Q2,0.049809817,Q2,0.049842018,Q2,0.4948,Q3
52,11358,0.522071002,Q4,0.530195536,Q3,800900,Q3,0.072223501,Q2,0.092655522,Q2,0.57065587,Q2,0.175759743,Q3,0.205919723,Q4,0.012816651,Q1,0.161769136,Q2,0.492153909,Q4,0.076489114,Q2,0.105806628,Q4,0.4492,Q2
53,11365,0.455628896,Q3,0.53430303,Q3,711600,Q3,0.10359758,Q2,0.12235389,Q2,0.564354015,Q2,0.135980334,Q2,0.170632174,Q4,0.112119451,Q3,0.204390004,Q3,0.457485806,Q4,0.098976262,Q3,0.085855425,Q4,0.457,Q2
54,11003,0.753474367,Q4,0.485504287,Q2,404300,Q1,0.062418087,Q1,0.05675566,Q1,0.635479264,Q3,0.109301951,Q2,0.070169674,Q2,0.508817195,Q4,0.200619223,Q3,0.156712734,Q3,0.133761106,Q3,0.050278202,Q2,0.3813,Q1
55,11103,0.137913962,Q1,0.447520185,Q2,809600,Q3,0.067560598,Q2,0.115145604,Q2,0.706516911,Q4,0.116025212,Q2,0.082445251,Q3,0.037977497,Q1,0.241283512,Q3,0.152132241,Q3,0.106125851,Q3,0.096763439,Q4,0.4282,Q1
56,11209,0.343581999,Q3,0.429684023,Q2,800600,Q3,0.105001363,Q2,0.10967675,Q2,0.608988169,Q3,0.113062612,Q2,0.077202643,Q2,0.045882388,Q2,0.170782804,Q2,0.146248267,Q3,0.071051312,Q2,0.059984881,Q2,0.4742,Q3
57,11214,0.317523448,Q3,0.507928994,Q3,742800,Q3,0.234515916,Q3,0.162913215,Q3,0.58598081,Q2,0.235332375,Q4,0.279900813,Q4,0.024815422,Q1,0.178953845,Q2,0.391520228,Q4,0.102424334,Q3,0.10836791,Q4,0.4653,Q2
58,11220,0.248678665,Q2,0.563381676,Q4,873200,Q4,0.266056374,Q4,0.272525738,Q4,0.599615014,Q2,0.463878687,Q4,0.415165383,Q4,0.039615756,Q1,0.413341204,Q4,0.423097564,Q4,0.226049157,Q4,0.149589283,Q4,0.4801,Q3
59,11230,0.285560775,Q2,0.575458121,Q4,804800,Q3,0.239824858,Q3,0.19920156,Q3,0.564045612,Q2,0.161947905,Q3,0.147163098,Q3,0.080404927,Q2,0.102137243,Q1,0.155283902,Q3,0.051289195,Q2,0.069015691,Q3,0.5341,Q4
60,11355,0.273653377,Q2,0.583948768,Q4,606900,Q3,0.165856469,Q3,0.217591672,Q4,0.546134408,Q1,0.31396118,Q4,0.414130449,Q4,0.041179449,Q1,0.154666798,Q2,0.735797103,Q4,0.098991196,Q3,0.191219343,Q4,0.491,Q3
61,11377,0.29636234,Q2,0.517299499,Q3,553300,Q2,0.078420733,Q2,0.108056281,Q2,0.622076352,Q3,0.197819097,Q3,0.229815224,Q4,0.03846108,Q1,0.375293767,Q4,0.389478079,Q4,0.099946317,Q3,0.099351613,Q4,0.4326,Q1
62,11378,0.471452228,Q3,0.485129205,Q2,644600,Q3,0.076529407,Q2,0.08720337,Q2,0.608285574,Q3,0.130379224,Q2,0.119671534,Q3,0.029254491,Q1,0.329768456,Q3,0.107673139,Q2,0.137031461,Q3,0.080979579,Q3,0.4437,Q2
63,11411,0.829708468,Q4,0.532467532,Q3,447400,Q1,0.086572438,Q2,0.040547071,Q1,0.612777275,Q3,0.076011337,Q1,0.023868396,Q1,0.941985617,Q4,0.061682514,Q1,0.004923018,Q1,0.029875959,Q1,0.069431703,Q3,0.3782,Q1
64,11416,0.415683733,Q3,0.531171443,Q3,557100,Q2,0.170354906,Q3,0.141110278,Q3,0.597761934,Q2,0.219175797,Q4,0.13449988,Q3,0.085626683,Q2,0.450568352,Q4,0.361314687,Q4,0.296776847,Q4,0.081686873,Q3,0.4235,Q1
65,11423,0.537033474,Q4,0.492908684,Q3,494500,Q2,0.133930431,Q2,0.091958679,Q2,0.603383308,Q3,0.157567159,Q3,0.066378826,Q2,0.419113739,Q4,0.136626362,Q2,0.311387191,Q4,0.165891576,Q3,0.089866478,Q4,0.4345,Q1
66,11040,0.873736612,Q4,0.31077147,Q1,634300,Q3,0.044991511,Q1,0.031478629,Q1,0.601501571,Q3,0.076611815,Q1,0.062065818,Q2,0.016782073,Q1,0.141493556,Q2,0.39666282,Q4,0.08720427,Q3,0.043333895,Q2,0.4097,Q1
67,11105,0.246136035,Q2,0.439624533,Q2,870300,Q4,0.084466338,Q2,0.093277015,Q2,0.703486376,Q4,0.114586922,Q2,0.080096047,Q3,0.034826812,Q1,0.206662521,Q3,0.12843739,Q3,0.064705405,Q2,0.066316587,Q3,0.4327,Q1
68,11106,0.16177079,Q2,0.425919211,Q2,621600,Q3,0.136667258,Q2,0.126338216,Q2,0.675477014,Q4,0.13268881,Q2,0.105349269,Q3,0.090262669,Q2,0.264924383,Q3,0.22395861,Q3,0.144308835,Q3,0.06577445,Q3,0.4605,Q2
69,11229,0.432033026,Q3,0.514450159,Q3,644700,Q3,0.198804185,Q3,0.136403138,Q3,0.565534306,Q2,0.149515821,Q3,0.169661217,Q4,0.068179357,Q2,0.110973424,Q1,0.250315812,Q4,0.041675189,Q2,0.063373067,Q2,0.4755,Q3
70,11234,0.629612179,Q4,0.471820112,Q2,588700,Q3,0.110323536,Q2,0.075146738,Q1,0.58504346,Q2,0.104988968,Q2,0.049994324,Q2,0.4614151,Q4,0.110943614,Q1,0.079222529,Q2,0.047020335,Q2,0.052103501,Q2,0.4423,Q2
