,StoreID,CreationDate,StoreName,StoreAddress,ZCTA,ZIPcode,BoroName,latitude,longitude,Xcoord,Ycoord,Census.2010.PUMA,CD.Code,Census.CD.Name,beef_type,beef_price_1lb,beef_price_1lb_imp,bread_type,bread_price_loaf,bread_price_loaf_imp,tomato_type,tomato_price,tomato_price_imp,potato_type,potato_price,potato_price_imp,orange_type,orange_price,orange_price_imp,lettuce_type,lettuce_price,lettuce_price_imp,milk_type,milk_price,milk_price_imp,strawberries_type,strawberries_price,strawberries_price_imp,banana_type,banana_price,banana_price_imp,eggs_type,eggs_price,eggs_price_imp,missingvalues,SFB,SFB_imp
45,FM0000418920,4/9/2019 20:11,Gourmanoff gourmet market,1029 BRIGHTON BEACH AVENUE,11235,11235,BROOKLYN,40.578209,-73.958609,995748,149936,3604018,313,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",P,10.99,10.99,P,2.99,2.99,P,1.99,1.99,P,0.89,0.89,A,1.29,1.29,P,1.79,1.79,P,2.09,2.09,P,0.99,0.99,P,0.59,0.59,P,0.79,0.79,0,24.4,24.4
46,FM0000435519,4/1/2019 20:42,Key Food,421 WEST 125 STREET,10027,10027,MANHATTAN,40.812023,-73.955078,996685,235122,3603802,109,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",P,5.19,5.19,P,1.79,1.79,P,2.49,2.49,P,0.99,0.99,A,1.5,1.5,P,2.99,2.99,P,2.29,2.29,P,4.99,4.99,M,,0.460607868,P,2,2,1,,24.69060787
47,FM0000442141,3/14/2019 19:29,C-Town,953 MANHATTAN AVENUE,11222,11222,BROOKLYN,40.731854,-73.954544,996848,205914,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",P,4.99,4.99,P,2.99,2.99,P,1.99,1.99,P,0.99,0.99,A,1,1,A,1.663333333,1.663333333,P,2.39,2.39,P,2.99,2.99,P,0.89,0.89,P,3.99,3.99,0,23.88333333,23.88333333
48,FM0000451465,3/14/2019 19:08,Associated ,802 MANHATTAN AVENUE,11222,11222,BROOKLYN,40.727803,-73.953071,997257,204438,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",A,2.677852349,2.677852349,M,2.99,2.99,P,2.99,2.99,P,0.99,0.99,A,0.99,0.99,P,2.49,2.49,P,2.29,2.29,P,4.99,4.99,P,0.99,0.99,P,1.99,1.99,0,23.38785235,23.38785235
49,FM0000457127,4/9/2019 20:11,Stop & Shop,1710 AVENUE Y,11235,11235,BROOKLYN,40.590308,-73.952642,997403,154345,3604016,315,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",P,6.19,6.19,P,1.99,1.99,P,1.99,1.99,P,1.49,1.49,A,1,1,A,0.996666667,0.996666667,P,2.29,2.29,P,4.99,4.99,P,0.59,0.59,P,1.89,1.89,0,23.41666667,23.41666667
50,FM0000470594,7/30/2019 17:25,Key Food,224 MCGUINESS BOULEVARD,11222,11222,BROOKLYN,40.729819,-73.951111,997800,205173,3604001,301,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",P,5.99,5.99,P,1.89,1.89,P,1.99,1.99,P,0.99,0.99,A,1.25,1.25,P,0.98,0.98,P,2.39,2.39,P,2.98,2.98,P,0.79,0.79,P,0.88,0.88,0,20.13,20.13
51,FM0000482534,4/22/2019 20:05,Food universe ,1486 LEXINGTON AVENUE,10128,10128,MANHATTAN,40.785768,-73.951015,997815,225557,3603805,108,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",P,5.99,5.99,P,1.79,1.79,P,2.99,2.99,P,0.99,0.99,A,0.4,0.4,P,2.99,2.99,P,2.49,2.49,P,2.5,2.5,P,0.99,0.99,P,1.69,1.69,0,22.82,22.82
52,FM0000486968,3/18/2019 17:52,Associated Supermarket,975 NOSTRAND AVENUE,11225,11225,BROOKLYN,40.66479,-73.950982,997849,181481,3604011,309,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",P,5.99,5.99,P,2.5,2.5,P,1.99,1.99,P,0.99,0.99,A,0.333333333,0.333333333,P,1.99,1.99,P,2.19,2.19,P,3.99,3.99,P,0.79,0.79,P,2.19,2.19,0,22.95333333,22.95333333
53,FM0000496336,3/18/2019 18:15,Key Food,1232 NOSTRAND AVENUE,11225,11225,BROOKLYN,40.65697,-73.950245,998055,178632,3604011,309,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",A,4.987179487,4.987179487,P,1.79,1.79,A,1.99,1.99,P,0.99,0.99,A,0.5,0.5,P,1.79,1.79,P,2.39,2.39,P,2.99,2.99,P,0.69,0.69,P,2.99,2.99,0,21.10717949,21.10717949
54,FM0000512135,4/1/2019 20:42,Key Food,3550 BROADWAY,10031,10031,MANHATTAN,40.826787,-73.950176,998039,240502,3603802,109,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",P,5.99,5.99,P,1.79,1.79,P,2.99,2.99,P,0.99,0.99,A,0.5,0.5,P,2.99,2.99,P,2.69,2.69,P,4.99,4.99,P,0.89,0.89,P,2.89,2.89,0,26.71,26.71
55,FM0000515735,4/24/2019 19:03,Key Food ,653 NOSTRAND AVENUE,11216,11216,BROOKLYN,40.674827,-73.950023,998113,185138,3604006,308,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",A,5.988888889,5.988888889,P,1.79,1.79,P,2.99,2.99,P,0.99,0.99,A,1,1,P,1.99,1.99,P,2.39,2.39,P,2.5,2.5,M,,0.87269448,P,1.69,1.69,1,,22.20158337
